Date,IntegerField,TextField,NominalField,BooleanField,FloatField
2025-03-24,42,Sample text,Category A,True,3.14
"March 24, 2025",NaN,Another text,Category B,False,2.71
2025/03/25,15,Text field,Category C,True,1.41
,10,More text,Category A,True,0.57
2025-03-26 14:32,42,Different entry,Category B,False,3.67
25-03-2025,18,Last entry,Category C,True,
2025-03-26,35,Some text,Category A,False,2.18
"March 27, 2025",25,,Category B,False,5.19
2025/03/27,39,Text sample,Category A,True,4.72
2025-03-28 09:45,52,Another one,Category C,False,6.28
InvalidDateFormat,20,Error row,Category A,True,8.11
2025-03-24,42,Duplicate row,Category A,True,3.14
2025-03-30,string_value,Invalid type in numeric,Category B,False,7.53
